car id,timestamp,local x,local y,global x,global y,speed,classes
9998,3.44E+11,11,-14,6,3,OverLimit,Student
9999,3.48E+11,83,88,9,7,normal,Unknown
10000,3.52E+11,52,26,8,6,normal,Unknown
10001,3.56E+11,2,-143,6,2,normal,Unknown
10002,3.60E+11,37,8,3,4,underLimit,Eng.
10003,3.64E+11,-96,34,2,9,normal,Unknown
10004,3.68E+11,93,89,3,2,OverLimit,Student
10005,3.72E+11,32,53,4,2,underLimit,Student
10006,3.76E+11,73,77,9,5,underLimit,Doctor
10007,3.80E+11,89,99,8,5,normal,Unknown
10008,3.84E+11,3,4,7,1,OverLimit,Student
10009,3.88E+11,63,-81,2,5,normal,Unknown
10010,3.92E+11,38,55,10,10,normal,Unknown
10011,3.96E+11,48,91,1,1,normal,Unknown
10012,4.00E+11,8,70,5,1,underLimit,Student
10013,4.04E+11,74,25,6,3,normal,Unknown
10014,4.08E+11,65,47,4,7,normal,Unknown
10015,4.12E+11,52,84,9,3,normal,Unknown
10016,4.16E+11,36,83,3,2,normal,Unknown
10017,4.20E+11,83,63,8,10,underLimit,Student
10018,4.24E+11,31,59,4,2,normal,Unknown
10019,4.28E+11,23,5,10,3,OverLimit,Doctor
10020,4.32E+11,3,38,5,3,normal,Unknown
10021,4.36E+11,61,81,8,1,normal,Unknown
10022,4.40E+11,26,56,4,8,underLimit,Eng.
10023,4.44E+11,32,27,8,3,underLimit,Student
10024,4.48E+11,17,87,10,6,normal,Unknown
10025,4.52E+11,79,84,9,8,normal,Unknown
10026,4.56E+11,23,87,8,4,normal,Unknown
10027,4.60E+11,41,92,3,10,normal,Unknown
10028,4.64E+11,76,3,10,7,OverLimit,Eng.
10029,4.68E+11,27,-92,5,4,normal,Unknown
10030,4.72E+11,64,25,10,6,normal,Unknown
10031,4.75E+11,38,27,9,7,underLimit,Student
10032,4.79E+11,36,13,8,0,OverLimit,Doctor
10033,4.83E+11,12,66,2,2,normal,Unknown
10034,4.87E+11,60,55,9,7,normal,Unknown
10035,4.91E+11,33,81,9,1,underLimit,Doctor
10036,4.95E+11,85,91,5,0,normal,Unknown
10037,4.99E+11,60,7,2,6,normal,Unknown
10038,5.03E+11,71,99,7,5,normal,Unknown
10039,5.07E+11,48,14,1,6,normal,Unknown
10040,5.11E+11,34,86,8,7,underLimit,Doctor
10041,5.15E+11,79,-56,0,10,normal,Unknown
10042,5.19E+11,7,-10,7,8,normal,Unknown
10043,5.23E+11,56,97,9,1,normal,Unknown
10044,5.27E+11,51,73,1,5,OverLimit,Doctor
10045,5.31E+11,37,67,5,6,normal,Unknown
10046,5.35E+11,9,-75,4,5,OverLimit,Student
10047,5.39E+11,89,69,8,7,OverLimit,Eng.
10048,5.43E+11,75,56,3,5,normal,Unknown
10049,5.47E+11,33,10,4,7,normal,Unknown
10050,5.51E+11,94,74,7,2,normal,Unknown
10051,5.55E+11,49,65,4,8,normal,Unknown
10052,5.59E+11,62,38,8,7,normal,Unknown
10053,5.63E+11,75,18,7,0,normal,Unknown
10054,5.67E+11,76,36,10,10,normal,Unknown
10055,5.71E+11,83,99,5,7,normal,Unknown
10056,5.75E+11,35,7,4,7,normal,Unknown
10057,5.79E+11,36,8,8,6,normal,Unknown
10058,5.83E+11,80,95,4,1,OverLimit,Student
10059,5.87E+11,33,42,3,5,underLimit,Teacher
10060,5.91E+11,69,70,3,2,OverLimit,Eng.
10061,5.95E+11,79,-43,5,10,normal,Unknown
10062,5.99E+11,62,95,5,2,underLimit,Doctor
10063,6.03E+11,13,86,10,5,normal,Unknown
10064,6.07E+11,43,80,5,2,underLimit,Student
10065,6.11E+11,46,41,8,5,underLimit,Student
10066,6.14E+11,94,9,9,10,normal,Unknown
10067,6.18E+11,24,-114,10,8,underLimit,Doctor
10068,6.22E+11,24,44,1,3,normal,Unknown
10069,6.26E+11,24,88,6,1,underLimit,Student
10070,6.30E+11,77,48,9,1,underLimit,Doctor
10071,6.34E+11,61,91,6,3,normal,Unknown
10072,6.38E+11,85,48,8,1,OverLimit,Teacher
10073,6.42E+11,77,93,8,4,normal,Unknown
10074,6.46E+11,96,16,4,7,OverLimit,Teacher
10075,6.50E+11,12,-102,10,8,normal,Unknown
10076,6.54E+11,14,42,2,1,normal,Unknown
10077,6.58E+11,43,65,10,3,underLimit,Eng.
10078,6.62E+11,84,14,0,10,underLimit,Eng.
10079,6.66E+11,47,82,1,8,normal,Unknown
10080,6.70E+11,7,52,10,9,normal,Unknown
10081,6.74E+11,60,78,3,7,normal,Unknown
10082,6.78E+11,74,48,9,6,OverLimit,Teacher
10083,6.82E+11,21,74,1,7,normal,Unknown
10084,6.86E+11,31,85,9,9,normal,Unknown
10085,6.90E+11,6,24,5,2,normal,Unknown
10086,6.94E+11,2,80,7,2,normal,Unknown
10087,6.98E+11,73,43,3,3,underLimit,Teacher
10088,7.02E+11,42,50,4,4,normal,Unknown
10089,7.06E+11,100,42,8,7,normal,Unknown
10090,7.10E+11,72,-44,10,4,normal,Unknown
10091,7.14E+11,65,27,6,4,underLimit,Doctor
10092,7.18E+11,66,61,5,10,OverLimit,Doctor
10093,7.22E+11,56,95,5,7,normal,Unknown
10094,7.26E+11,6,29,9,0,normal,Unknown
10095,7.30E+11,97,64,1,7,OverLimit,Doctor
10096,7.34E+11,98,-25,7,10,normal,Unknown
10097,7.38E+11,39,59,8,4,normal,Unknown
10098,7.42E+11,33,81,1,3,normal,Unknown
10099,7.46E+11,51,98,8,2,normal,Unknown
10100,7.50E+11,70,56,10,9,normal,Unknown
10101,7.53E+11,23,-165,6,10,underLimit,Teacher
10102,7.57E+11,53,77,0,5,normal,Unknown
10103,7.61E+11,73,23,1,5,normal,Unknown
10104,7.65E+11,73,86,1,1,OverLimit,Student
10105,7.69E+11,80,13,7,4,underLimit,Student
10106,7.73E+11,26,32,10,0,underLimit,Student
10107,7.77E+11,91,-75,3,5,normal,Unknown
10108,7.81E+11,34,8,1,8,normal,Unknown
10109,7.85E+11,23,67,-3,9,underLimit,Student
10110,7.89E+11,54,59,2,10,OverLimit,Student
10111,7.93E+11,28,37,3,8,OverLimit,Student
10112,7.97E+11,48,74,5,10,normal,Unknown
10113,8.01E+11,37,90,6,5,normal,Unknown
10114,8.05E+11,38,83,9,0,underLimit,Eng.
10115,8.09E+11,46,-105,2,0,OverLimit,Doctor
10116,8.13E+11,53,54,8,7,underLimit,Student
10117,8.17E+11,1,13,3,5,normal,Unknown
10118,8.21E+11,88,42,10,1,OverLimit,Teacher
10119,8.25E+11,70,49,8,0,normal,Unknown
10120,8.29E+11,19,1,6,4,normal,Unknown
10121,8.33E+11,17,95,0,7,normal,Unknown
10122,8.37E+11,77,75,2,1,normal,Unknown
10123,8.41E+11,30,46,1,7,normal,Unknown
10124,8.45E+11,79,21,4,7,underLimit,Eng.
10125,8.49E+11,86,52,9,9,normal,Unknown
10126,8.53E+11,23,-41,2,8,underLimit,Teacher
10127,8.57E+11,57,39,4,6,normal,Unknown
10128,8.61E+11,63,87,6,2,normal,Unknown
10129,8.65E+11,88,17,7,6,underLimit,Student
10130,8.69E+11,20,67,8,5,normal,Unknown
10131,8.73E+11,78,-35,3,7,underLimit,Teacher
10132,8.77E+11,99,54,3,8,normal,Unknown
10133,8.81E+11,57,51,10,9,underLimit,Eng.
10134,8.85E+11,81,25,3,0,OverLimit,Eng.
10135,8.89E+11,20,44,6,5,OverLimit,Doctor
10136,8.92E+11,53,50,2,1,OverLimit,Student
10137,8.96E+11,41,95,6,4,normal,Unknown
10138,9.00E+11,87,9,7,6,underLimit,Doctor
10139,9.04E+11,84,8,6,8,underLimit,Student
10140,9.08E+11,99,-173,9,3,underLimit,Teacher
10141,9.12E+11,12,61,3,5,normal,Unknown
10142,9.16E+11,51,76,3,6,normal,Unknown
10143,9.20E+11,86,21,7,0,normal,Unknown
10144,9.24E+11,19,57,2,5,OverLimit,Eng.
10145,9.28E+11,2,26,10,1,normal,Unknown
10146,9.32E+11,17,-47,10,8,normal,Unknown
10147,9.36E+11,77,11,3,3,underLimit,Teacher
10148,9.40E+11,23,29,3,4,normal,Unknown
10149,9.44E+11,2,98,9,2,OverLimit,Doctor
10150,9.48E+11,57,72,0,5,underLimit,Doctor
10151,9.52E+11,47,87,10,8,normal,Unknown
10152,9.56E+11,72,7,9,0,normal,Unknown
10153,9.60E+11,99,75,10,6,normal,Unknown
10154,9.64E+11,3,29,1,3,normal,Unknown
10155,9.68E+11,89,84,4,6,OverLimit,Eng.
10156,9.72E+11,87,57,5,0,normal,Unknown
10157,9.76E+11,55,-84,3,10,normal,Unknown
10158,9.80E+11,9,33,2,5,normal,Unknown
10159,9.84E+11,87,68,1,5,normal,Unknown
10160,9.88E+11,75,79,3,4,normal,Unknown
10161,9.92E+11,22,39,7,0,normal,Unknown
10162,9.96E+11,53,98,8,9,normal,Unknown
10163,1.00E+12,94,51,10,6,normal,Unknown
10164,1.00E+12,12,50,5,1,normal,Unknown
10165,1.01E+12,85,56,1,8,underLimit,Teacher
10166,1.01E+12,59,19,4,8,underLimit,Doctor
10167,1.02E+12,80,16,9,3,normal,Unknown
10168,1.02E+12,34,80,9,2,OverLimit,Student
10169,1.02E+12,46,-192,1,5,normal,Unknown
10170,1.03E+12,9,9,1,6,normal,Unknown
10171,1.03E+12,74,26,10,0,normal,Unknown
10172,1.04E+12,53,98,6,7,OverLimit,Student
10173,1.04E+12,32,17,5,5,normal,Unknown
10174,1.04E+12,40,32,2,3,OverLimit,Eng.
10175,1.05E+12,6,24,7,10,normal,Unknown
10176,1.05E+12,33,48,8,5,underLimit,Eng.
10177,1.06E+12,87,12,10,1,normal,Unknown
10178,1.06E+12,73,20,7,2,underLimit,Doctor
10179,1.06E+12,30,82,5,3,underLimit,Doctor
10180,1.07E+12,17,76,10,9,normal,Unknown
10181,1.07E+12,92,97,4,6,normal,Unknown
10182,1.08E+12,23,45,1,4,underLimit,Teacher
10183,1.08E+12,57,60,3,8,normal,Unknown
10184,1.08E+12,35,65,10,10,OverLimit,Student
10185,1.09E+12,58,96,3,5,underLimit,Doctor
10186,1.09E+12,15,8,7,7,OverLimit,Teacher
10187,1.10E+12,99,46,10,7,OverLimit,Teacher
10188,1.10E+12,17,-169,10,1,underLimit,Doctor
10189,1.10E+12,53,89,3,1,normal,Unknown
10190,1.11E+12,0,64,5,0,underLimit,Student
10191,1.11E+12,28,32,8,6,normal,Unknown
10192,1.11E+12,71,43,-3,7,normal,Unknown
10193,1.12E+12,13,85,10,7,underLimit,Student
10194,1.12E+12,36,81,10,10,normal,Unknown
10195,1.13E+12,89,71,1,8,underLimit,Teacher
10196,1.13E+12,99,13,8,2,normal,Unknown
10197,1.13E+12,40,68,2,4,underLimit,Student
10198,1.14E+12,61,16,7,3,OverLimit,Eng.
10199,1.14E+12,48,81,3,8,normal,Unknown
10200,1.15E+12,51,43,2,1,normal,Unknown
10201,1.15E+12,28,86,0,3,underLimit,Student
10202,1.15E+12,87,83,5,0,normal,Unknown
10203,1.16E+12,41,18,9,9,underLimit,Teacher
10204,1.16E+12,54,36,10,8,normal,Unknown
10205,1.17E+12,70,22,8,4,underLimit,Doctor
10206,1.17E+12,33,86,1,1,underLimit,Doctor
10207,1.17E+12,67,51,2,6,normal,Unknown
10208,1.18E+12,61,67,4,8,normal,Unknown
10209,1.18E+12,30,27,6,2,normal,Unknown
10210,1.19E+12,12,41,3,4,OverLimit,Doctor
10211,1.19E+12,9,37,5,4,normal,Unknown
10212,1.19E+12,57,47,8,8,normal,Unknown
10213,1.20E+12,15,59,4,6,OverLimit,Student
10214,1.20E+12,79,93,8,2,normal,Unknown
10215,1.21E+12,44,34,4,4,normal,Unknown
10216,1.21E+12,85,15,4,5,normal,Unknown
10217,1.21E+12,6,16,1,7,normal,Unknown
10218,1.22E+12,60,-34,9,5,normal,Unknown
10219,1.22E+12,55,23,2,9,normal,Unknown
10220,1.23E+12,67,29,1,10,underLimit,Eng.
10221,1.23E+12,81,67,6,3,normal,Unknown
10222,1.23E+12,66,72,1,4,normal,Unknown
10223,1.24E+12,76,16,3,3,normal,Unknown
10224,1.24E+12,82,78,8,1,underLimit,Doctor
10225,1.25E+12,18,100,2,2,normal,Unknown
10226,1.25E+12,54,42,5,10,underLimit,Doctor
10227,1.25E+12,58,77,5,5,normal,Unknown
10228,1.26E+12,76,83,6,7,underLimit,Student
10229,1.26E+12,81,26,6,3,normal,Unknown
10230,1.27E+12,5,11,4,10,normal,Unknown
10231,1.27E+12,30,77,1,8,underLimit,Student
10232,1.27E+12,100,43,10,4,normal,Unknown
10233,1.28E+12,68,9,3,0,normal,Unknown
10234,1.28E+12,76,1,9,7,normal,Unknown
10235,1.29E+12,36,25,6,8,normal,Unknown
10236,1.29E+12,97,-94,6,7,OverLimit,Doctor
10237,1.29E+12,75,46,2,8,OverLimit,Teacher
10238,1.30E+12,96,32,3,9,normal,Unknown
10239,1.30E+12,75,81,6,8,normal,Unknown
10240,1.31E+12,11,-158,8,3,normal,Unknown
10241,1.31E+12,48,95,5,10,normal,Unknown
10242,1.31E+12,52,93,5,2,OverLimit,Eng.
10243,1.32E+12,9,55,9,2,underLimit,Teacher
10244,1.32E+12,87,51,9,4,normal,Unknown
10245,1.33E+12,59,17,6,0,normal,Unknown
10246,1.33E+12,80,40,2,5,underLimit,Doctor
10247,1.33E+12,62,36,10,8,normal,Unknown
10248,1.34E+12,78,32,10,8,OverLimit,Student
10249,1.34E+12,0,16,6,3,underLimit,Doctor
10250,1.35E+12,50,82,7,4,OverLimit,Student
10251,1.35E+12,69,39,7,5,underLimit,Teacher
10252,1.35E+12,68,44,6,2,underLimit,Student
10253,1.36E+12,88,52,7,5,normal,Unknown
10254,1.36E+12,98,60,4,5,normal,Unknown
10255,1.37E+12,49,17,8,2,OverLimit,Teacher
10256,1.37E+12,13,64,7,8,normal,Unknown
10257,1.37E+12,9,38,10,2,normal,Unknown
10258,1.38E+12,57,-130,8,8,normal,Unknown
10259,1.38E+12,14,26,3,10,OverLimit,Eng.
10260,1.38E+12,33,18,3,6,normal,Unknown
10261,1.39E+12,71,67,5,0,underLimit,Student
10262,1.39E+12,48,-50,2,8,normal,Unknown
10263,1.40E+12,34,31,0,4,underLimit,Student
10264,1.40E+12,86,7,7,0,normal,Unknown
10265,1.40E+12,22,46,6,9,normal,Unknown
10266,1.41E+12,9,47,10,1,normal,Unknown
10267,1.41E+12,18,81,5,0,normal,Unknown
10268,1.42E+12,70,98,6,7,underLimit,Doctor
10269,1.42E+12,78,56,6,6,normal,Unknown
10270,1.42E+12,65,22,10,3,underLimit,Eng.
10271,1.43E+12,1,25,4,0,normal,Unknown
10272,1.43E+12,40,17,4,3,underLimit,Student
10273,1.44E+12,11,34,7,2,normal,Unknown
10274,1.44E+12,52,96,8,7,normal,Unknown
10275,1.44E+12,71,0,8,1,normal,Unknown
10276,1.45E+12,80,31,7,8,normal,Unknown
10277,1.45E+12,99,78,6,3,underLimit,Student
10278,1.46E+12,15,53,7,1,OverLimit,Student
10279,1.46E+12,78,15,1,0,normal,Unknown
10280,1.46E+12,87,30,4,7,normal,Unknown
10281,1.47E+12,90,52,3,4,underLimit,Teacher
10282,1.47E+12,39,18,1,7,underLimit,Doctor
10283,1.48E+12,76,45,10,10,underLimit,Eng.
10284,1.48E+12,37,81,3,2,normal,Unknown
10285,1.48E+12,2,69,1,10,underLimit,Doctor
10286,1.49E+12,34,15,9,2,normal,Unknown
10287,1.49E+12,41,57,5,10,underLimit,Doctor
10288,1.50E+12,86,60,5,10,underLimit,Student
10289,1.50E+12,40,57,8,10,underLimit,Student
10290,1.50E+12,99,49,6,0,OverLimit,Doctor
10291,1.51E+12,29,-162,0,5,normal,Unknown
10292,1.51E+12,47,27,7,1,normal,Unknown
10293,1.52E+12,78,58,1,4,normal,Unknown
10294,1.52E+12,76,67,5,4,normal,Unknown
10295,1.52E+12,79,70,6,2,underLimit,Doctor
10296,1.53E+12,77,30,4,10,normal,Unknown
10297,1.53E+12,29,91,0,3,underLimit,Doctor
10298,1.54E+12,57,58,5,7,normal,Unknown
10299,1.54E+12,0,63,7,1,normal,Unknown
10300,1.54E+12,68,13,5,2,underLimit,Eng.
10301,1.55E+12,52,76,10,4,underLimit,Doctor
10302,1.55E+12,31,13,10,9,normal,Unknown
10303,1.56E+12,17,37,3,2,OverLimit,Student
10304,1.56E+12,0,5,3,3,normal,Unknown
10305,1.56E+12,22,71,2,8,normal,Unknown
10306,1.57E+12,60,94,3,4,normal,Unknown
10307,1.57E+12,80,3,0,10,normal,Unknown
10308,1.58E+12,21,11,2,10,underLimit,Student
10309,1.58E+12,0,14,7,6,normal,Unknown
10310,1.58E+12,56,36,9,8,underLimit,Student
10311,1.59E+12,71,39,3,10,normal,Unknown
10312,1.59E+12,20,-144,3,8,normal,Unknown
10313,1.60E+12,52,40,8,5,normal,Unknown
10314,1.60E+12,46,72,7,8,normal,Unknown
10315,1.60E+12,35,-33,1,6,underLimit,Teacher
10316,1.61E+12,90,3,9,5,underLimit,Student
10317,1.61E+12,75,97,3,2,normal,Unknown
10318,1.62E+12,71,63,1,7,underLimit,Eng.
10319,1.62E+12,46,32,9,7,OverLimit,Eng.
10320,1.62E+12,27,42,7,9,normal,Unknown
10321,1.63E+12,32,43,1,1,normal,Unknown
10322,1.63E+12,0,93,9,2,normal,Unknown
10323,1.64E+12,65,1,4,6,underLimit,Eng.
10324,1.64E+12,11,82,1,0,normal,Unknown
10325,1.64E+12,81,55,2,5,underLimit,Eng.
10326,1.65E+12,60,-66,9,0,underLimit,Student
10327,1.65E+12,79,59,1,1,normal,Unknown
10328,1.66E+12,0,-27,0,5,normal,Unknown
10329,1.66E+12,52,48,5,7,normal,Unknown
10330,1.66E+12,100,69,7,2,underLimit,Student
10331,1.67E+12,89,93,4,8,OverLimit,Teacher
10332,1.67E+12,28,97,8,4,underLimit,Eng.
10333,1.67E+12,70,61,9,2,normal,Unknown
10334,1.68E+12,4,3,6,1,normal,Unknown
10335,1.68E+12,64,86,5,10,normal,Unknown
10336,1.69E+12,29,-115,6,5,normal,Unknown
10337,1.69E+12,56,96,0,9,normal,Unknown
10338,1.69E+12,66,43,0,6,OverLimit,Eng.
10339,1.70E+12,58,53,10,3,underLimit,Eng.
10340,1.70E+12,10,7,8,6,underLimit,Eng.
10341,1.71E+12,63,44,4,3,normal,Unknown
10342,1.71E+12,66,24,4,8,normal,Unknown
10343,1.71E+12,96,50,0,5,OverLimit,Eng.
10344,1.72E+12,69,96,6,1,normal,Unknown
10345,1.72E+12,20,51,10,7,underLimit,Teacher
10346,1.73E+12,66,89,6,6,normal,Unknown
10347,1.73E+12,25,74,0,7,normal,Unknown
10348,1.73E+12,62,13,10,8,OverLimit,Doctor
10349,1.74E+12,44,38,2,8,normal,Unknown
10350,1.74E+12,17,63,2,8,underLimit,Student
10351,1.75E+12,87,55,1,2,normal,Unknown
10352,1.75E+12,28,41,0,5,normal,Unknown
10353,1.75E+12,0,33,2,1,normal,Unknown
10354,1.76E+12,77,15,2,1,OverLimit,Student
10355,1.76E+12,9,63,5,0,normal,Unknown
10356,1.77E+12,70,37,9,6,normal,Unknown
10357,1.77E+12,86,76,4,4,normal,Unknown
10358,1.77E+12,39,91,9,3,underLimit,Doctor
10359,1.78E+12,97,90,3,3,normal,Unknown
10360,1.78E+12,62,48,5,9,underLimit,Doctor
10361,1.79E+12,57,65,0,5,normal,Unknown
10362,1.79E+12,49,80,10,0,underLimit,Student
10363,1.79E+12,50,57,1,5,OverLimit,Eng.
10364,1.80E+12,72,79,3,10,underLimit,Eng.
10365,1.80E+12,13,93,6,2,normal,Unknown
10366,1.81E+12,61,46,9,10,underLimit,Doctor
10367,1.81E+12,42,43,0,1,normal,Unknown
10368,1.81E+12,37,66,6,1,normal,Unknown
10369,1.82E+12,94,100,1,10,OverLimit,Eng.
10370,1.82E+12,61,28,3,8,underLimit,Doctor
10371,1.83E+12,30,25,6,8,normal,Unknown
10372,1.83E+12,27,85,6,8,underLimit,Doctor
10373,1.83E+12,69,36,0,8,normal,Unknown
10374,1.84E+12,8,66,0,10,underLimit,Student
10375,1.84E+12,67,3,4,7,normal,Unknown
10376,1.85E+12,86,14,5,5,OverLimit,Doctor
10377,1.85E+12,41,68,0,1,normal,Unknown
10378,1.85E+12,38,10,5,5,normal,Unknown
10379,1.86E+12,30,80,6,7,normal,Unknown
10380,1.86E+12,64,92,6,10,OverLimit,Eng.
10381,1.87E+12,16,88,5,7,normal,Unknown
10382,1.87E+12,53,24,10,5,normal,Unknown
10383,1.87E+12,48,14,2,2,normal,Unknown
10384,1.88E+12,32,39,9,6,normal,Unknown
10385,1.88E+12,19,25,9,5,underLimit,Student
10386,1.89E+12,31,31,7,0,underLimit,Eng.
10387,1.89E+12,83,85,1,8,normal,Unknown
10388,1.89E+12,29,14,5,2,normal,Unknown
10389,1.90E+12,78,-6,9,6,underLimit,Doctor
10390,1.90E+12,23,5,6,9,normal,Unknown
10391,1.91E+12,74,32,0,9,normal,Unknown
10392,1.91E+12,97,22,5,8,underLimit,Eng.
10393,1.91E+12,66,78,4,10,normal,Unknown
10394,1.92E+12,9,13,10,10,normal,Unknown
10395,1.92E+12,81,21,10,9,normal,Unknown
10396,1.93E+12,72,41,9,1,OverLimit,Doctor
10397,1.93E+12,59,96,6,1,normal,Unknown
10398,1.93E+12,31,67,5,7,normal,Unknown
10399,1.94E+12,40,2,10,5,normal,Unknown
10400,1.94E+12,93,59,7,5,OverLimit,Student
10401,1.94E+12,18,87,9,6,normal,Unknown
10402,1.95E+12,20,30,5,3,underLimit,Teacher
10403,1.95E+12,82,64,8,6,normal,Unknown
10404,1.96E+12,86,14,4,4,normal,Unknown
10405,1.96E+12,22,52,1,9,underLimit,Student
10406,1.96E+12,45,72,6,8,normal,Unknown
10407,1.97E+12,82,10,3,1,OverLimit,Eng.
10408,1.97E+12,24,29,5,3,underLimit,Doctor
10409,1.98E+12,89,37,4,1,normal,Unknown
10410,1.98E+12,22,12,6,6,underLimit,Teacher
10411,1.98E+12,26,63,6,2,underLimit,Student
10412,1.99E+12,96,28,9,4,underLimit,Eng.
10413,1.99E+12,7,92,0,3,underLimit,Student
10414,2.00E+12,11,58,8,8,normal,Unknown
10415,2.00E+12,85,66,7,2,normal,Unknown
10416,2.00E+12,99,92,1,3,underLimit,Eng.
10417,2.01E+12,49,55,2,1,OverLimit,Teacher
10418,2.01E+12,60,57,2,2,normal,Unknown
10419,2.02E+12,91,63,3,2,underLimit,Teacher
10420,2.02E+12,68,63,0,10,OverLimit,Eng.
10421,2.02E+12,70,46,10,7,normal,Unknown
10422,2.03E+12,12,86,6,4,normal,Unknown
10423,2.03E+12,84,97,4,7,normal,Unknown
10424,2.04E+12,1,40,5,10,underLimit,Teacher
10425,2.04E+12,95,16,2,5,normal,Unknown
10426,2.04E+12,94,49,8,1,normal,Unknown
10427,2.05E+12,34,39,6,8,normal,Unknown
10428,2.05E+12,34,59,8,7,normal,Unknown
10429,2.06E+12,41,88,0,3,normal,Unknown
10430,2.06E+12,66,60,10,7,underLimit,Student
10431,2.06E+12,10,70,8,6,normal,Unknown
